date,J-JM,OI-Y,L-MA,P-Y
2018-10-08,-0.00170158,0.0,-0.00238415,-0.00159966
2018-10-09,-0.00364811,0.0,0.00261882,6.923e-05
2018-10-10,-0.00179754,0.0,0.00947734,0.00055382
2018-10-11,0.00027114,0.0,0.00163542,0.00042015
2018-10-12,-0.00358523,0.0,0.00682745,0.00297554
2018-10-15,0.00197615,0.0,3.739e-05,0.00054179
2018-10-16,0.0019825,0.0,-0.00225718,4.923e-05
2018-10-17,-0.00231601,0.0,0.00229508,0.00088603
2018-10-18,0.00507322,0.0,-0.00156082,-0.00172132
2018-10-19,0.00175392,0.00125229,-0.00301886,0.00073898
2018-10-22,-0.00011197,-0.00147447,-0.00268999,0.00162456
2018-10-23,-0.00014253,0.00121296,0.00038599,0.00039319
2018-10-24,-0.0027033,0.00021069,0.00139281,-0.00047962
2018-10-25,-0.00048495,0.00105325,-0.00259848,0.0
2018-10-26,0.00081205,-0.00021043,-0.00020729,0.0
2018-10-29,0.00272506,-0.00036833,-0.00652155,0.0
2018-10-30,-0.0014199,-0.00115802,-0.00134702,0.0
2018-10-31,0.00083582,0.00047429,0.00221323,0.0
2018-11-01,0.0018943,-0.00042139,-0.00338834,0.00057003
2018-11-02,-0.001662,-0.00300365,-0.00495001,-0.00096286
2018-11-05,-0.00154768,0.00142707,0.00260917,0.00118015
2018-11-06,-0.00055578,0.00047501,-0.00562897,0.00121805
2018-11-07,0.00038773,-0.00105508,-0.0043331,0.00054942
2018-11-08,0.00113215,-0.00095057,0.00196897,0.00050989
2018-11-09,0.0006011,0.00111006,0.00364673,0.00225414
2018-11-12,0.00296294,0.00089762,0.00145052,0.00172103
2018-11-13,-0.00071063,-0.0006858,-0.00502406,-3.905e-05
2018-11-14,-0.00174228,0.00026395,-0.00973371,0.00234292
2018-11-15,-0.00090574,-0.00026388,0.00052398,0.00019479
2018-11-16,-0.00133437,0.00285067,0.00449995,4.127e-05
2018-11-19,0.00232042,0.00015792,0.01415865,0.00050361
2018-11-20,0.00269156,-0.00289475,0.00135659,0.00140143
2018-11-21,0.0009489,0.00084455,-0.01230686,0.00287668
2018-11-22,0.00072495,-0.00311166,0.00624695,-0.00180246
2018-11-23,0.00323709,-0.00275104,0.00353932,-0.00229112
2018-11-26,0.00236823,0.00159152,-0.00266896,0.00175148
2018-11-27,0.0020503,0.00037076,0.00046832,0.00169014
2018-11-28,-0.00145289,-0.00047652,-0.0017291,-0.00139637
2018-11-29,9.062e-05,0.0003708,-0.00189478,-0.00205865
2018-11-30,-0.00070981,0.0001059,-0.00963089,0.00114821
2018-12-03,-0.00360701,-0.00074125,-0.00335446,-0.00136073
2018-12-04,-0.00309425,0.00699415,0.01079663,-0.00887623
2018-12-05,-0.00099912,-0.01062882,-0.00086488,-0.00021604
2018-12-06,0.02087042,-0.00335054,-0.00189477,-0.00092327
2018-12-07,-0.00553488,-0.00458913,0.00152737,-0.00102243
2018-12-10,0.00046042,0.00123298,-0.00198207,-0.00163363
2018-12-11,0.00053555,-0.00315898,4.338e-05,-0.00153773
2018-12-12,-6.494e-05,-0.00209476,-0.00080015,0.00071081
2018-12-13,-0.00834826,-0.00037677,-0.00014472,-0.00110493
2018-12-14,0.00048365,0.00366144,0.00110004,-0.00086912
2018-12-17,-0.00102726,-0.00198499,-0.00199043,0.00071171
2018-12-18,0.00143158,0.00295652,-0.00536509,-0.0003556
2018-12-19,-0.00026678,0.00042877,-0.00241299,-0.00130434
